sku,collection,series,color,size,sub_variant,height_in,width_in,depth_in,top_type,base_only_price_usd,with_top_and_sink_price_usd,single_price_usd,product_overview,hardware_options,available_top_colors,optional_features,series_available_sizes,series_depth_in,dimensions_note,catalog_page,image_url,image_filename
ARIA_NATURAL-OAK_30,Essentials,Aria,Natural Oak,"30""",,34,30,18,Porcelain,,1500,,Integrated Porcelain Top and Sink | Solid Wood Legs and Dovetail Drawer Construction | HDF Doors and Frame to Minimize Paint Cracks | Soft Close Doors and Dovetail Drawers with German-Made Hettich Hardware,Black; Brass; Brushed Nickel,Porcelain Top,,"24”, 30”, and 36”",,,48,https://raw.githubusercontent.com/arzL2o/otto-home-goods-catalog-2025/main/images/Aria_Natural_Oak_30_x_p48_x397.jpg,Aria_Natural_Oak_30_x_p48_x397.jpg
ARIA_NATURAL-OAK_36_CENTER-SINK,Essentials,Aria,Natural Oak,"36""",Center Sink,34,36,20,Porcelain,,1750,,Integrated Porcelain Top and Sink | Solid Wood Legs and Dovetail Drawer Construction | HDF Doors and Frame to Minimize Paint Cracks | Soft Close Doors and Dovetail Drawers with German-Made Hettich Hardware,Black; Brass; Brushed Nickel,Porcelain Top,,"24”, 30”, and 36”",,,48,https://raw.githubusercontent.com/arzL2o/otto-home-goods-catalog-2025/main/images/Aria_Natural_Oak_36_Center_Sink_p48_x399.jpg,Aria_Natural_Oak_36_Center_Sink_p48_x399.jpg
ARIA_WHITE_24,Essentials,Aria,White,"24""",,34,24,18,Porcelain,,1150,,Integrated Porcelain Top and Sink | Solid Wood Legs and Dovetail Drawer Construction | HDF Doors and Frame to Minimize Paint Cracks | Soft Close Doors and Dovetail Drawers with German-Made Hettich Hardware,Black; Brass; Brushed Nickel,Porcelain Top,,"24”, 30”, and 36”",,,49,https://raw.githubusercontent.com/arzL2o/otto-home-goods-catalog-2025/main/images/Aria_White_24_x_p49_x403.jpg,Aria_White_24_x_p49_x403.jpg
ARIA_WHITE_30,Essentials,Aria,White,"30""",,34,30,18,Porcelain,,1450,,Integrated Porcelain Top and Sink | Solid Wood Legs and Dovetail Drawer Construction | HDF Doors and Frame to Minimize Paint Cracks | Soft Close Doors and Dovetail Drawers with German-Made Hettich Hardware,Black; Brass; Brushed Nickel,Porcelain Top,,"24”, 30”, and 36”",,,49,https://raw.githubusercontent.com/arzL2o/otto-home-goods-catalog-2025/main/images/Aria_White_30_x_p49_x405.jpg,Aria_White_30_x_p49_x405.jpg
ARIA_WHITE_36_CENTER-SINK,Essentials,Aria,White,"36""",Center Sink,34,36,20,Porcelain,,1650,,Integrated Porcelain Top and Sink | Solid Wood Legs and Dovetail Drawer Construction | HDF Doors and Frame to Minimize Paint Cracks | Soft Close Doors and Dovetail Drawers with German-Made Hettich Hardware,Black; Brass; Brushed Nickel,Porcelain Top,,"24”, 30”, and 36”",,,49,https://raw.githubusercontent.com/arzL2o/otto-home-goods-catalog-2025/main/images/Aria_White_36_Center_Sink_p49_x407.jpg,Aria_White_36_Center_Sink_p49_x407.jpg
FRAME_WHITE_24,Essentials,Frame,White,"24""",,34,24,18,Porcelain,,1200,,Integrated Porcelain Top and Sink | Solid Wood Legs and Dovetail Drawer Construction | HDF Doors and Frame to Minimize Paint Cracks | Soft Close Doors and Dovetail Drawers with German-Made Hettich Hardware,Black; Brushed Nickel,Porcelain Top,,"24”, 30”, 36”, 60”, 72”, and 84”",,,52,https://raw.githubusercontent.com/arzL2o/otto-home-goods-catalog-2025/main/images/Frame_White_24_x_p52_x441.jpg,Frame_White_24_x_p52_x441.jpg
FRAME_WHITE_30,Essentials,Frame,White,"30""",,34,30,18,Porcelain,,1450,,Integrated Porcelain Top and Sink | Solid Wood Legs and Dovetail Drawer Construction | HDF Doors and Frame to Minimize Paint Cracks | Soft Close Doors and Dovetail Drawers with German-Made Hettich Hardware,Black; Brushed Nickel,Porcelain Top,,"24”, 30”, 36”, 60”, 72”, and 84”",,,52,https://raw.githubusercontent.com/arzL2o/otto-home-goods-catalog-2025/main/images/Frame_White_30_x_p52_x443.jpg,Frame_White_30_x_p52_x443.jpg
FRAME_WHITE_36_CENTER-SINK,Essentials,Frame,White,"36""",Center Sink,34,36,20,Porcelain,,1650,,Integrated Porcelain Top and Sink | Solid Wood Legs and Dovetail Drawer Construction | HDF Doors and Frame to Minimize Paint Cracks | Soft Close Doors and Dovetail Drawers with German-Made Hettich Hardware,Black; Brushed Nickel,Porcelain Top,,"24”, 30”, 36”, 60”, 72”, and 84”",,,52,https://raw.githubusercontent.com/arzL2o/otto-home-goods-catalog-2025/main/images/Frame_White_36_Center_Sink_p52_x445.jpg,Frame_White_36_Center_Sink_p52_x445.jpg
FRAME_WHITE_60,Essentials,Frame,White,"60""",,34,60,18,Porcelain,,2800,,Integrated Porcelain Top and Sink | Solid Wood Legs and Dovetail Drawer Construction | HDF Doors and Frame to Minimize Paint Cracks | Soft Close Doors and Dovetail Drawers with German-Made Hettich Hardware,Black; Brushed Nickel,Porcelain Top,,"24”, 30”, 36”, 60”, 72”, and 84”",,,53,https://raw.githubusercontent.com/arzL2o/otto-home-goods-catalog-2025/main/images/Frame_White_60_x_p53_x453.jpg,Frame_White_60_x_p53_x453.jpg
FRAME_WHITE_72,Essentials,Frame,White,"72""",,34,72,18,Porcelain,,3300,,Integrated Porcelain Top and Sink | Solid Wood Legs and Dovetail Drawer Construction | HDF Doors and Frame to Minimize Paint Cracks | Soft Close Doors and Dovetail Drawers with German-Made Hettich Hardware,Black; Brushed Nickel,Porcelain Top,,"24”, 30”, 36”, 60”, 72”, and 84”",,,53,https://raw.githubusercontent.com/arzL2o/otto-home-goods-catalog-2025/main/images/Frame_White_72_x_p53_x451.jpg,Frame_White_72_x_p53_x451.jpg
FRAME_WHITE_84,Essentials,Frame,White,"84""",,34,84,20,Porcelain,,3700,,Integrated Porcelain Top and Sink | Solid Wood Legs and Dovetail Drawer Construction | HDF Doors and Frame to Minimize Paint Cracks | Soft Close Doors and Dovetail Drawers with German-Made Hettich Hardware,Black; Brushed Nickel,Porcelain Top,,"24”, 30”, 36”, 60”, 72”, and 84”",,,53,https://raw.githubusercontent.com/arzL2o/otto-home-goods-catalog-2025/main/images/Frame_White_84_x_p53_x449.jpg,Frame_White_84_x_p53_x449.jpg
FRAME_DARK-GRAY_24,Essentials,Frame,Dark Gray,"24""",,34,24,18,Porcelain,,1200,,Integrated Porcelain Top and Sink | Solid Wood Legs and Dovetail Drawer Construction | HDF Doors and Frame to Minimize Paint Cracks | Soft Close Doors and Dovetail Drawers with German-Made Hettich Hardware,Black; Brushed Nickel,Porcelain Top,,"24”, 30”, 36”, 60”, 72”, and 84”",,,54,https://raw.githubusercontent.com/arzL2o/otto-home-goods-catalog-2025/main/images/Frame_Dark_Gray_24_x_p54_x457.jpg,Frame_Dark_Gray_24_x_p54_x457.jpg
FRAME_DARK-GRAY_30,Essentials,Frame,Dark Gray,"30""",,34,30,18,Porcelain,,1450,,Integrated Porcelain Top and Sink | Solid Wood Legs and Dovetail Drawer Construction | HDF Doors and Frame to Minimize Paint Cracks | Soft Close Doors and Dovetail Drawers with German-Made Hettich Hardware,Black; Brushed Nickel,Porcelain Top,,"24”, 30”, 36”, 60”, 72”, and 84”",,,54,https://raw.githubusercontent.com/arzL2o/otto-home-goods-catalog-2025/main/images/Frame_Dark_Gray_30_x_p54_x459.jpg,Frame_Dark_Gray_30_x_p54_x459.jpg
FRAME_DARK-GRAY_36_CENTER-SINK,Essentials,Frame,Dark Gray,"36""",Center Sink,34,36,20,Porcelain,,1650,,Integrated Porcelain Top and Sink | Solid Wood Legs and Dovetail Drawer Construction | HDF Doors and Frame to Minimize Paint Cracks | Soft Close Doors and Dovetail Drawers with German-Made Hettich Hardware,Black; Brushed Nickel,Porcelain Top,,"24”, 30”, 36”, 60”, 72”, and 84”",,,54,https://raw.githubusercontent.com/arzL2o/otto-home-goods-catalog-2025/main/images/Frame_Dark_Gray_36_Center_Sink_p54_x461.jpg,Frame_Dark_Gray_36_Center_Sink_p54_x461.jpg
FRAME_DARK-GRAY_60,Essentials,Frame,Dark Gray,"60""",,34,60,18,Porcelain,,2800,,Integrated Porcelain Top and Sink | Solid Wood Legs and Dovetail Drawer Construction | HDF Doors and Frame to Minimize Paint Cracks | Soft Close Doors and Dovetail Drawers with German-Made Hettich Hardware,Black; Brushed Nickel,Porcelain Top,,"24”, 30”, 36”, 60”, 72”, and 84”",,,55,https://raw.githubusercontent.com/arzL2o/otto-home-goods-catalog-2025/main/images/Frame_Dark_Gray_60_x_p55_x469.jpg,Frame_Dark_Gray_60_x_p55_x469.jpg
FRAME_DARK-GRAY_72,Essentials,Frame,Dark Gray,"72""",,34,72,18,Porcelain,,3300,,Integrated Porcelain Top and Sink | Solid Wood Legs and Dovetail Drawer Construction | HDF Doors and Frame to Minimize Paint Cracks | Soft Close Doors and Dovetail Drawers with German-Made Hettich Hardware,Black; Brushed Nickel,Porcelain Top,,"24”, 30”, 36”, 60”, 72”, and 84”",,,55,https://raw.githubusercontent.com/arzL2o/otto-home-goods-catalog-2025/main/images/Frame_Dark_Gray_72_x_p55_x467.jpg,Frame_Dark_Gray_72_x_p55_x467.jpg
FRAME_DARK-GRAY_84,Essentials,Frame,Dark Gray,"84""",,34,84,20,Porcelain,,3700,,Integrated Porcelain Top and Sink | Solid Wood Legs and Dovetail Drawer Construction | HDF Doors and Frame to Minimize Paint Cracks | Soft Close Doors and Dovetail Drawers with German-Made Hettich Hardware,Black; Brushed Nickel,Porcelain Top,,"24”, 30”, 36”, 60”, 72”, and 84”",,,55,https://raw.githubusercontent.com/arzL2o/otto-home-goods-catalog-2025/main/images/Frame_Dark_Gray_84_x_p55_x465.jpg,Frame_Dark_Gray_84_x_p55_x465.jpg
FRAME_PINE-GREEN_24,Essentials,Frame,Pine Green,"24""",,34,24,18,Porcelain,,1200,,Integrated Porcelain Top and Sink | Solid Wood Legs and Dovetail Drawer Construction | HDF Doors and Frame to Minimize Paint Cracks | Soft Close Doors and Dovetail Drawers with German-Made Hettich Hardware,Black; Brushed Nickel,Porcelain Top,,"24”, 30”, 36”, 60”, 72”, and 84”",,,56,https://raw.githubusercontent.com/arzL2o/otto-home-goods-catalog-2025/main/images/Frame_Pine_Green_24_x_p56_x473.jpg,Frame_Pine_Green_24_x_p56_x473.jpg
FRAME_PINE-GREEN_30,Essentials,Frame,Pine Green,"30""",,34,30,18,Porcelain,,1450,,Integrated Porcelain Top and Sink | Solid Wood Legs and Dovetail Drawer Construction | HDF Doors and Frame to Minimize Paint Cracks | Soft Close Doors and Dovetail Drawers with German-Made Hettich Hardware,Black; Brushed Nickel,Porcelain Top,,"24”, 30”, 36”, 60”, 72”, and 84”",,,56,https://raw.githubusercontent.com/arzL2o/otto-home-goods-catalog-2025/main/images/Frame_Pine_Green_30_x_p56_x475.jpg,Frame_Pine_Green_30_x_p56_x475.jpg
FRAME_PINE-GREEN_36_CENTER-SINK,Essentials,Frame,Pine Green,"36""",Center Sink,34,36,20,Porcelain,,1650,,Integrated Porcelain Top and Sink | Solid Wood Legs and Dovetail Drawer Construction | HDF Doors and Frame to Minimize Paint Cracks | Soft Close Doors and Dovetail Drawers with German-Made Hettich Hardware,Black; Brushed Nickel,Porcelain Top,,"24”, 30”, 36”, 60”, 72”, and 84”",,,56,https://raw.githubusercontent.com/arzL2o/otto-home-goods-catalog-2025/main/images/Frame_Pine_Green_36_Center_Sink_p56_x477.jpg,Frame_Pine_Green_36_Center_Sink_p56_x477.jpg
FRAME_PINE-GREEN_60,Essentials,Frame,Pine Green,"60""",,34,60,18,Porcelain,,2800,,Integrated Porcelain Top and Sink | Solid Wood Legs and Dovetail Drawer Construction | HDF Doors and Frame to Minimize Paint Cracks | Soft Close Doors and Dovetail Drawers with German-Made Hettich Hardware,Black; Brushed Nickel,Porcelain Top,,"24”, 30”, 36”, 60”, 72”, and 84”",,,57,https://raw.githubusercontent.com/arzL2o/otto-home-goods-catalog-2025/main/images/Frame_Pine_Green_60_x_p57_x485.jpg,Frame_Pine_Green_60_x_p57_x485.jpg
FRAME_PINE-GREEN_72,Essentials,Frame,Pine Green,"72""",,34,72,18,Porcelain,,3300,,Integrated Porcelain Top and Sink | Solid Wood Legs and Dovetail Drawer Construction | HDF Doors and Frame to Minimize Paint Cracks | Soft Close Doors and Dovetail Drawers with German-Made Hettich Hardware,Black; Brushed Nickel,Porcelain Top,,"24”, 30”, 36”, 60”, 72”, and 84”",,,57,https://raw.githubusercontent.com/arzL2o/otto-home-goods-catalog-2025/main/images/Frame_Pine_Green_72_x_p57_x483.jpg,Frame_Pine_Green_72_x_p57_x483.jpg
FRAME_PINE-GREEN_84,Essentials,Frame,Pine Green,"84""",,34,84,20,Porcelain,,3700,,Integrated Porcelain Top and Sink | Solid Wood Legs and Dovetail Drawer Construction | HDF Doors and Frame to Minimize Paint Cracks | Soft Close Doors and Dovetail Drawers with German-Made Hettich Hardware,Black; Brushed Nickel,Porcelain Top,,"24”, 30”, 36”, 60”, 72”, and 84”",,,57,https://raw.githubusercontent.com/arzL2o/otto-home-goods-catalog-2025/main/images/Frame_Pine_Green_84_x_p57_x481.jpg,Frame_Pine_Green_84_x_p57_x481.jpg
ADORA_LIGHT-GRAY_24,Essentials,Adora,Light Gray,"24""",,36,24,18,Porcelain,,1100,,Integrated Porcelain Top and Sink | Engineered Wood Doors and Frame | Soft Close Drawers with German-Made Hettich Hardware,Black; Brushed Nickel,Porcelain Top,,,,,59,https://raw.githubusercontent.com/arzL2o/otto-home-goods-catalog-2025/main/images/Adora_Light_Gray_24_x_p59_x517.jpg,Adora_Light_Gray_24_x_p59_x517.jpg
ADORA_WHITE_24,Essentials,Adora,White,"24""",,36,24,18,Porcelain,,1100,,Integrated Porcelain Top and Sink | Engineered Wood Doors and Frame | Soft Close Drawers with German-Made Hettich Hardware,Black; Brushed Nickel,Porcelain Top,,,,,59,https://raw.githubusercontent.com/arzL2o/otto-home-goods-catalog-2025/main/images/Adora_White_24_x_p59_x515.jpg,Adora_White_24_x_p59_x515.jpg
ADORA_LIGHT-GRAY_32,Essentials,Adora,Light Gray,"32""",,36,32,18,Porcelain,,1250,,Integrated Porcelain Top and Sink | Engineered Wood Doors and Frame | Soft Close Drawers with German-Made Hettich Hardware,Black; Brushed Nickel,Porcelain Top,,,,,59,https://raw.githubusercontent.com/arzL2o/otto-home-goods-catalog-2025/main/images/Adora_Light_Gray_32_x_p59_x519.jpg,Adora_Light_Gray_32_x_p59_x519.jpg
ADORA_WHITE_32,Essentials,Adora,White,"32""",,36,32,18,Porcelain,,1250,,Integrated Porcelain Top and Sink | Engineered Wood Doors and Frame | Soft Close Drawers with German-Made Hettich Hardware,Black; Brushed Nickel,Porcelain Top,,,,,59,https://raw.githubusercontent.com/arzL2o/otto-home-goods-catalog-2025/main/images/Adora_White_32_x_p59_x513.jpg,Adora_White_32_x_p59_x513.jpg
SEMPRE_WHITE_20,Essentials,Sempre,White,"20""",,34,20,16,Porcelain,,700,,Integrated Porcelain Top and Sink | Engineered Wood | Metal Legs | Soft Close Drawers with German-Made Hettich Hardware,Black,Porcelain Top,,,,,61,https://raw.githubusercontent.com/arzL2o/otto-home-goods-catalog-2025/main/images/Sempre_White_20_x_p61_x536.jpg,Sempre_White_20_x_p61_x536.jpg
SEMPRE_PINE-GREEN_20,Essentials,Sempre,Pine Green,"20""",,34,20,16,Porcelain,,700,,Integrated Porcelain Top and Sink | Engineered Wood | Metal Legs | Soft Close Drawers with German-Made Hettich Hardware,Black,Porcelain Top,,,,,61,https://raw.githubusercontent.com/arzL2o/otto-home-goods-catalog-2025/main/images/Sempre_Pine_Green_20_x_p61_x538.jpg,Sempre_Pine_Green_20_x_p61_x538.jpg
SEMPRE_WHITE_24,Essentials,Sempre,White,"24""",,34,24,16,Porcelain,,750,,Integrated Porcelain Top and Sink | Engineered Wood | Metal Legs | Soft Close Drawers with German-Made Hettich Hardware,Black,Porcelain Top,,,,,61,https://raw.githubusercontent.com/arzL2o/otto-home-goods-catalog-2025/main/images/Sempre_White_24_x_p61_x540.jpg,Sempre_White_24_x_p61_x540.jpg
SEMPRE_PINE-GREEN_24,Essentials,Sempre,Pine Green,"24""",,34,24,16,Porcelain,,750,,Integrated Porcelain Top and Sink | Engineered Wood | Metal Legs | Soft Close Drawers with German-Made Hettich Hardware,Black,Porcelain Top,,,,,61,https://raw.githubusercontent.com/arzL2o/otto-home-goods-catalog-2025/main/images/Sempre_Pine_Green_24_x_p61_x542.jpg,Sempre_Pine_Green_24_x_p61_x542.jpg
LUNA_WHITE_26,Essentials,Luna,White,"26""",,34,26,18,Porcelain,,750,,Integrated Porcelain Top and Sink | Engineered Wood Doors and Frame | Soft Close Doors with German-Made Hettich Hardware,Brushed Nickel; Gold,Porcelain Top,,,,,63,https://raw.githubusercontent.com/arzL2o/otto-home-goods-catalog-2025/main/images/Luna_White_26_x_p63_x568.jpg,Luna_White_26_x_p63_x568.jpg
LUNA_PEPPER_26,Essentials,Luna,Pepper,"26""",,34,26,18,Porcelain,,750,,Integrated Porcelain Top and Sink | Engineered Wood Doors and Frame | Soft Close Doors with German-Made Hettich Hardware,Brushed Nickel; Gold,Porcelain Top,,,,,63,https://raw.githubusercontent.com/arzL2o/otto-home-goods-catalog-2025/main/images/Luna_Pepper_26_x_p63_x566.jpg,Luna_Pepper_26_x_p63_x566.jpg
LUNA_NAVY-BLUE_26,Essentials,Luna,Navy Blue,"26""",,34,26,18,Porcelain,,750,,Integrated Porcelain Top and Sink | Engineered Wood Doors and Frame | Soft Close Doors with German-Made Hettich Hardware,Brushed Nickel; Gold,Porcelain Top,,,,,63,https://raw.githubusercontent.com/arzL2o/otto-home-goods-catalog-2025/main/images/Luna_Navy_Blue_26_x_p63_x564.jpg,Luna_Navy_Blue_26_x_p63_x564.jpg
ROMINA_MESSINA_30,Essentials,Romina,Messina,"30""",,34,30,18,Porcelain,,1150,,Integrated Porcelain Top and Sink | Engineered Wood Doors and Frame | Soft Close Doors and Drawers with German-Made Hettich Hardware,,Porcelain Top,,,,,65,https://raw.githubusercontent.com/arzL2o/otto-home-goods-catalog-2025/main/images/Romina_Messina_30_x_p65_x585.jpg,Romina_Messina_30_x_p65_x585.jpg
ROMINA_MESSINA_39,Essentials,Romina,Messina,"39""",,34,39,18,Porcelain,,1300,,Integrated Porcelain Top and Sink | Engineered Wood Doors and Frame | Soft Close Doors and Drawers with German-Made Hettich Hardware,,Porcelain Top,,,,,65,https://raw.githubusercontent.com/arzL2o/otto-home-goods-catalog-2025/main/images/Romina_Messina_39_x_p65_x583.jpg,Romina_Messina_39_x_p65_x583.jpg
ROMINA_MESSINA_60_DOUBLE-BOWL,Essentials,Romina,Messina,"60""",Double Bowl,34,60,18,Porcelain,,2300,,Integrated Porcelain Top and Sink | Engineered Wood Doors and Frame | Soft Close Doors and Drawers with German-Made Hettich Hardware,,Porcelain Top,,,,,65,https://raw.githubusercontent.com/arzL2o/otto-home-goods-catalog-2025/main/images/Romina_Messina_60_Double_Bowl_p65_x581.jpg,Romina_Messina_60_Double_Bowl_p65_x581.jpg
ARTE_GLOSSY-WHITE_26,Essentials,Arte,Glossy White,"26""",,33,26,17,Porcelain,,950,,Integrated Porcelain Top and Sink | Engineered Wood Doors and Frame | Soft Close Doors and Drawers with German-Made Hettich Hardware,Brushed Nickel,Porcelain Top,,,,,67,https://raw.githubusercontent.com/arzL2o/otto-home-goods-catalog-2025/main/images/Arte_Glossy_White_26_x_p67_x600.jpg,Arte_Glossy_White_26_x_p67_x600.jpg
ARTE_GLOSSY-WHITE_30,Essentials,Arte,Glossy White,"30""",,33,30,17,Porcelain,,1000,,Integrated Porcelain Top and Sink | Engineered Wood Doors and Frame | Soft Close Doors and Drawers with German-Made Hettich Hardware,Brushed Nickel,Porcelain Top,,,,,67,https://raw.githubusercontent.com/arzL2o/otto-home-goods-catalog-2025/main/images/Arte_Glossy_White_30_x_p67_x602.jpg,Arte_Glossy_White_30_x_p67_x602.jpg
SORRENTO_NATURAL-OAK_24,Floating,Sorrento,Natural Oak,"24""",,20,24,18,Porcelain,,1200,,HDF Doors and Frame to Minimize Paint Cracks (Painted Models) | Real Wood Reeded White Oak Doors with an HDF Frame (Natural Oak) | Soft Close Dovetail Wood Drawers with German-Made Hettich Hardware,Black; Brass,,,"24”, 30”, 36” and 48”",,,70,https://raw.githubusercontent.com/arzL2o/otto-home-goods-catalog-2025/main/images/Sorrento_Natural_Oak_24_x_p70_x641.jpg,Sorrento_Natural_Oak_24_x_p70_x641.jpg
SORRENTO_NATURAL-OAK_30,Floating,Sorrento,Natural Oak,"30""",,20,30,18,Porcelain,,1300,,HDF Doors and Frame to Minimize Paint Cracks (Painted Models) | Real Wood Reeded White Oak Doors with an HDF Frame (Natural Oak) | Soft Close Dovetail Wood Drawers with German-Made Hettich Hardware,Black; Brass,,,"24”, 30”, 36” and 48”",,,70,https://raw.githubusercontent.com/arzL2o/otto-home-goods-catalog-2025/main/images/Sorrento_Natural_Oak_30_x_p70_x639.jpg,Sorrento_Natural_Oak_30_x_p70_x639.jpg
SORRENTO_NATURAL-OAK_36,Floating,Sorrento,Natural Oak,"36""",,20,36,20,Porcelain,,1500,,HDF Doors and Frame to Minimize Paint Cracks (Painted Models) | Real Wood Reeded White Oak Doors with an HDF Frame (Natural Oak) | Soft Close Dovetail Wood Drawers with German-Made Hettich Hardware,Black; Brass,,,"24”, 30”, 36” and 48”",,,70,https://raw.githubusercontent.com/arzL2o/otto-home-goods-catalog-2025/main/images/Sorrento_Natural_Oak_36_x_p70_x637.jpg,Sorrento_Natural_Oak_36_x_p70_x637.jpg
SORRENTO_NATURAL-OAK_48_DOUBLE-BOWL,Floating,Sorrento,Natural Oak,"48""",Double Bowl,20,48,20,Porcelain,,2450,,HDF Doors and Frame to Minimize Paint Cracks (Painted Models) | Real Wood Reeded White Oak Doors with an HDF Frame (Natural Oak) | Soft Close Dovetail Wood Drawers with German-Made Hettich Hardware,Black; Brass,,,"24”, 30”, 36” and 48”",,,70,https://raw.githubusercontent.com/arzL2o/otto-home-goods-catalog-2025/main/images/Sorrento_Natural_Oak_48_Double_Bowl_p70_x635.jpg,Sorrento_Natural_Oak_48_Double_Bowl_p70_x635.jpg
SORRENTO_FOREST-GREEN_24,Floating,Sorrento,Forest Green,"24""",,20,24,18,Porcelain,,1100,,HDF Doors and Frame to Minimize Paint Cracks (Painted Models) | Real Wood Reeded White Oak Doors with an HDF Frame (Natural Oak) | Soft Close Dovetail Wood Drawers with German-Made Hettich Hardware,Black; Brass,,,"24”, 30”, 36” and 48”",,,71,https://raw.githubusercontent.com/arzL2o/otto-home-goods-catalog-2025/main/images/Sorrento_Forest_Green_24_x_p71_x657.jpg,Sorrento_Forest_Green_24_x_p71_x657.jpg
SORRENTO_FOREST-GREEN_30,Floating,Sorrento,Forest Green,"30""",,20,30,18,Porcelain,,1200,,HDF Doors and Frame to Minimize Paint Cracks (Painted Models) | Real Wood Reeded White Oak Doors with an HDF Frame (Natural Oak) | Soft Close Dovetail Wood Drawers with German-Made Hettich Hardware,Black; Brass,,,"24”, 30”, 36” and 48”",,,71,https://raw.githubusercontent.com/arzL2o/otto-home-goods-catalog-2025/main/images/Sorrento_Forest_Green_30_x_p71_x655.jpg,Sorrento_Forest_Green_30_x_p71_x655.jpg
SORRENTO_FOREST-GREEN_36,Floating,Sorrento,Forest Green,"36""",,20,36,20,Porcelain,,1400,,HDF Doors and Frame to Minimize Paint Cracks (Painted Models) | Real Wood Reeded White Oak Doors with an HDF Frame (Natural Oak) | Soft Close Dovetail Wood Drawers with German-Made Hettich Hardware,Black; Brass,,,"24”, 30”, 36” and 48”",,,71,https://raw.githubusercontent.com/arzL2o/otto-home-goods-catalog-2025/main/images/Sorrento_Forest_Green_36_x_p71_x651.jpg,Sorrento_Forest_Green_36_x_p71_x651.jpg
SORRENTO_FOREST-GREEN_48_DOUBLE-BOWL,Floating,Sorrento,Forest Green,"48""",Double Bowl,20,48,20,Porcelain,,2250,,HDF Doors and Frame to Minimize Paint Cracks (Painted Models) | Real Wood Reeded White Oak Doors with an HDF Frame (Natural Oak) | Soft Close Dovetail Wood Drawers with German-Made Hettich Hardware,Black; Brass,,,"24”, 30”, 36” and 48”",,,71,https://raw.githubusercontent.com/arzL2o/otto-home-goods-catalog-2025/main/images/Sorrento_Forest_Green_48_Double_Bowl_p71_x647.jpg,Sorrento_Forest_Green_48_Double_Bowl_p71_x647.jpg
SORRENTO_PEPPER_24,Floating,Sorrento,Pepper,"24""",,20,24,18,Porcelain,,1100,,HDF Doors and Frame to Minimize Paint Cracks (Painted Models) | Real Wood Reeded White Oak Doors with an HDF Frame (Natural Oak) | Soft Close Dovetail Wood Drawers with German-Made Hettich Hardware,Black; Brass,,,"24”, 30”, 36” and 48”",,,72,https://raw.githubusercontent.com/arzL2o/otto-home-goods-catalog-2025/main/images/Sorrento_Pepper_24_x_p72_x668.jpg,Sorrento_Pepper_24_x_p72_x668.jpg
SORRENTO_PEPPER_30,Floating,Sorrento,Pepper,"30""",,20,30,18,Porcelain,,1200,,HDF Doors and Frame to Minimize Paint Cracks (Painted Models) | Real Wood Reeded White Oak Doors with an HDF Frame (Natural Oak) | Soft Close Dovetail Wood Drawers with German-Made Hettich Hardware,Black; Brass,,,"24”, 30”, 36” and 48”",,,72,https://raw.githubusercontent.com/arzL2o/otto-home-goods-catalog-2025/main/images/Sorrento_Pepper_30_x_p72_x666.jpg,Sorrento_Pepper_30_x_p72_x666.jpg
SORRENTO_PEPPER_36,Floating,Sorrento,Pepper,"36""",,20,36,20,Porcelain,,1400,,HDF Doors and Frame to Minimize Paint Cracks (Painted Models) | Real Wood Reeded White Oak Doors with an HDF Frame (Natural Oak) | Soft Close Dovetail Wood Drawers with German-Made Hettich Hardware,Black; Brass,,,"24”, 30”, 36” and 48”",,,72,https://raw.githubusercontent.com/arzL2o/otto-home-goods-catalog-2025/main/images/Sorrento_Pepper_36_x_p72_x664.jpg,Sorrento_Pepper_36_x_p72_x664.jpg
SORRENTO_PEPPER_48_DOUBLE-BOWL,Floating,Sorrento,Pepper,"48""",Double Bowl,20,48,20,Porcelain,,2250,,HDF Doors and Frame to Minimize Paint Cracks (Painted Models) | Real Wood Reeded White Oak Doors with an HDF Frame (Natural Oak) | Soft Close Dovetail Wood Drawers with German-Made Hettich Hardware,Black; Brass,,,"24”, 30”, 36” and 48”",,,72,https://raw.githubusercontent.com/arzL2o/otto-home-goods-catalog-2025/main/images/Sorrento_Pepper_48_Double_Bowl_p72_x662.jpg,Sorrento_Pepper_48_Double_Bowl_p72_x662.jpg
SORRENTO_WHITE_24,Floating,Sorrento,White,"24""",,20,24,18,Porcelain,,1100,,HDF Doors and Frame to Minimize Paint Cracks (Painted Models) | Real Wood Reeded White Oak Doors with an HDF Frame (Natural Oak) | Soft Close Dovetail Wood Drawers with German-Made Hettich Hardware,Black; Brass,,,"24”, 30”, 36” and 48”",,,73,https://raw.githubusercontent.com/arzL2o/otto-home-goods-catalog-2025/main/images/Sorrento_White_24_x_p73_x678.jpg,Sorrento_White_24_x_p73_x678.jpg
SORRENTO_WHITE_30,Floating,Sorrento,White,"30""",,20,30,18,Porcelain,,1200,,HDF Doors and Frame to Minimize Paint Cracks (Painted Models) | Real Wood Reeded White Oak Doors with an HDF Frame (Natural Oak) | Soft Close Dovetail Wood Drawers with German-Made Hettich Hardware,Black; Brass,,,"24”, 30”, 36” and 48”",,,73,https://raw.githubusercontent.com/arzL2o/otto-home-goods-catalog-2025/main/images/Sorrento_White_30_x_p73_x676.jpg,Sorrento_White_30_x_p73_x676.jpg
